Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up,,,,,Actual,Needed,Difference
28-Feb-2021,Orders-Logistics,Shipping Fee Paid by Seller,357581332742771,RMJ,Pirelli Angel CT Scooter 90/80 x 14 Tubeless,PIR-ANG-90-x14,1724392340_PH-7437442270,-280.00,30,0,No,22 Feb 2021 - 28 Feb 2021,paid,357581332642771,357581332742771,Delivered,LBC,standard,Dropshipping,357581332742771,,,March 2021, ,357581332642771,-280,-42.56,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Promotional Charges Vouchers,0,,March 2021,57727.27,57727.27,0
27-Feb-2021,Orders-Lazada Fees,Payment Fee,357581332742771,RMJ,Pirelli Angel CT Scooter 90/80 x 14 Tubeless,PIR-ANG-90-x14,1724392340_PH-7437442270,-42.56,4.56,0,No,22 Feb 2021 - 28 Feb 2021,paid,357581332642771,357581332742771,Delivered,LBC,standard,Dropshipping,357581332742771,,,March 2021, ,356297577267437,-205,-31.76,0,1212.75,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Payment Fee,-9253.05,,April 2021,21075.16,21075.16,0
27-Feb-2021,Orders-Sales,Item Price Credit,357581332742771,RMJ,Pirelli Angel CT Scooter 90/80 x 14 Tubeless,PIR-ANG-90-x14,1724392340_PH-7437442270,1620.00,0,0,No,22 Feb 2021 - 28 Feb 2021,paid,357581332642771,357581332742771,Delivered,LBC,standard,Dropshipping,357581332742771,,,March 2021,Low - Medium,366455434172398,-199,-31.17,0,1391.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Reversal Item Price,-9624,,May 2021,6216,6216,0
18-Feb-2021,Orders-Lazada Fees,Payment Fee,356297577367437,RMJ,Mizzle M89 Motorcycle Tire 90/80 x 17 (Tubetype),MIZ-M89-TT-9017,1724394128_PH-7437362969,-31.76,3.4,0,No,15 Feb 2021 - 21 Feb 2021,paid,356297577267437,356297577367437,Delivered,LEX PH,standard,Dropshipping,356297577367437,,,March 2021, ,367964398651787,-41.5,-4.56,0,161.95,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Sponsored Discovery - Top up,0,,June 2021,9880.11,9880.11,0
18-Feb-2021,Orders-Sales,Item Price Credit,356297577367437,RMJ,Mizzle M89 Motorcycle Tire 90/80 x 17 (Tubetype),MIZ-M89-TT-9017,1724394128_PH-7437362969,1212.75,0,0,No,15 Feb 2021 - 21 Feb 2021,paid,356297577267437,356297577367437,Delivered,LEX PH,standard,Dropshipping,356297577367437,,,March 2021,Low - Medium,363509675380748,-222.99,-18.44,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Commission,0,,July 2021,58229.02,58229.02,0
18-Feb-2021,Orders-Logistics,Shipping Fee Paid by Seller,356297577367437,RMJ,Mizzle M89 Motorcycle Tire 90/80 x 17 (Tubetype),MIZ-M89-TT-9017,1724394128_PH-7437362969,-205.00,21.96,0,No,15 Feb 2021 - 21 Feb 2021,paid,356297577267437,356297577367437,Delivered,LEX PH,standard,Dropshipping,356297577367437,,,March 2021, ,364351992393304,-199,-78.94,164.3,3325,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee Paid by Seller,-6197.25,,August 2021,37888.43,37888.43,0
31-Mar-2021,Orders-Lazada Fees,Payment Fee,366455434272398,RMJ,Mizzle M89 Motorcycle Tire 100/80 x 14 (Tubeless),MIZ-M89-100-X14,1724052359_PH-7436426867,-31.17,3.34,0,No,29 Mar 2021 - 04 Apr 2021,paid,366455434172398,366455434272398,Delivered,LEX PH,standard,Dropshipping,366455434272398,,,March 2021, ,364513789008002,-54,-15.42,0,634.74,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Free Shipping Max Fee,0,,September 2021,77826.6,77826.6,0
31-Mar-2021,Orders-Sales,Item Price Credit,366455434272398,RMJ,Mizzle M89 Motorcycle Tire 100/80 x 14 (Tubeless),MIZ-M89-100-X14,1724052359_PH-7436426867,1391.25,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,366455434172398,366455434272398,Delivered,LEX PH,standard,Dropshipping,366455434272398,,,March 2021,Low - Medium,363031989480492,-41.5,-6.25,0,237.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Lazada Bonus,0,,October 2021,59885.69,59885.69,0
31-Mar-2021,Orders-Logistics,Shipping Fee Paid by Seller,366455434272398,RMJ,Mizzle M89 Motorcycle Tire 100/80 x 14 (Tubeless),MIZ-M89-100-X14,1724052359_PH-7436426867,-199.00,21.32,0,No,29 Mar 2021 - 04 Apr 2021,paid,366455434172398,366455434272398,Delivered,LEX PH,standard,Dropshipping,366455434272398,,,March 2021, ,363080144088817,-41.5,-6.25,0,237.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee Refund to Customer,-716,,November 2021,114647.17,114647.17,0
31-Mar-2021,Orders-Lazada Fees,Payment Fee,367964398751787,RMJ,Knuckle Bearing Set Fury 125,PZA-SP-FURY125/R,1740042425_PH-7475614696,-4.56,0.49,0,No,29 Mar 2021 - 04 Apr 2021,paid,367964398651787,367964398751787,Delivered,LEX PH,standard,Dropshipping,367964398751787,,,March 2021, ,358365277760603,-280,-101.92,0,4480,0,0,180,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee Voucher Refund to Laz,-171.5,,December 2021,146477.25,146477.25,0
31-Mar-2021,Orders-Sales,Item Price Credit,367964398751787,RMJ,Knuckle Bearing Set Fury 125,PZA-SP-FURY125/R,1740042425_PH-7475614696,161.95,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,367964398651787,367964398751787,Delivered,LEX PH,standard,Dropshipping,367964398751787,,,March 2021,Low,360565915785462,-41.5,-1.21,0,7828,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee Subsidy (By Seller),-50,,January 2022,185964.08,0,185964.08
31-Mar-2021,Orders-Logistics,Shipping Fee Paid by Seller,367964398751787,RMJ,Knuckle Bearing Set Fury 125,PZA-SP-FURY125/R,1740042425_PH-7475614696,-41.50,4.45,0,No,29 Mar 2021 - 04 Apr 2021,paid,367964398651787,367964398751787,Delivered,LEX PH,standard,Dropshipping,367964398751787,,,March 2021, ,360883548776834,-72.5,-5.33,0,165.36,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
29-Mar-2021,Orders-Lazada Fees,Payment Fee,363509676480748,RMJ,"NGK/B8HS Spark Plug for Suzuki GP100, GP125 / Yam RD200DX, RD350 A/B (5510)",PZA-SP-B8HS,1735344199_PH-7468350753,-4.61,0.49,0,No,29 Mar 2021 - 04 Apr 2021,paid,363509675380748,363509676480748,Delivered,QuadX,standard,Dropshipping,363509676480748,,,March 2021, ,360538601103308,-45,-4.52,0,170.48,0,0,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
29-Mar-2021,Orders-Sales,Item Price Credit,363509676480748,RMJ,"NGK/B8HS Spark Plug for Suzuki GP100, GP125 / Yam RD200DX, RD350 A/B (5510)",PZA-SP-B8HS,1735344199_PH-7468350753,150.00,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,363509675380748,363509676480748,Delivered,QuadX,standard,Dropshipping,363509676480748,,,March 2021,Low,359994065436095,-72,-16.08,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
29-Mar-2021,Orders-Lazada Fees,Payment Fee,363509676380748,RMJ,"NGK/B8HS Spark Plug for Suzuki GP100, GP125 / Yam RD200DX, RD350 A/B (5510)",PZA-SP-B8HS,1735344199_PH-7468350753,-4.61,0.49,0,No,29 Mar 2021 - 04 Apr 2021,paid,363509675380748,363509676380748,Delivered,QuadX,standard,Dropshipping,363509676380748,,,March 2021, ,359212024893746,-41.5,-1.21,0,7828,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
29-Mar-2021,Orders-Sales,Item Price Credit,363509676380748,RMJ,"NGK/B8HS Spark Plug for Suzuki GP100, GP125 / Yam RD200DX, RD350 A/B (5510)",PZA-SP-B8HS,1735344199_PH-7468350753,150.00,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,363509675380748,363509676380748,Delivered,QuadX,standard,Dropshipping,363509676380748,,,March 2021,Low,361391576985462,-72,-1.62,0,6316.37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Item Price Credit,607676.68,,,,,
29-Mar-2021,Orders-Lazada Fees,Payment Fee,363509676180748,RMJ,"NGK/B8HS Spark Plug for Suzuki GP100, GP125 / Yam RD200DX, RD350 A/B (5510)",PZA-SP-B8HS,1735344199_PH-7468350753,-4.61,0.49,0,No,29 Mar 2021 - 04 Apr 2021,paid,363509675380748,363509676180748,Delivered,QuadX,standard,Dropshipping,363509676180748,,,March 2021, ,361387367085462,-72,-1.62,0,6316.37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee (Paid By Customer),4491.8,,,,,
29-Mar-2021,Orders-Sales,Item Price Credit,363509676180748,RMJ,"NGK/B8HS Spark Plug for Suzuki GP100, GP125 / Yam RD200DX, RD350 A/B (5510)",PZA-SP-B8HS,1735344199_PH-7468350753,150.00,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,363509675380748,363509676180748,Delivered,QuadX,standard,Dropshipping,363509676180748,,,March 2021,Low,360589302445563,-41.5,-1.21,0,7828,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Lazada Bonus - LZD co-fund,2816.16,,,,,
