Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up
28-Apr-2022,Orders-Lazada Fees,Payment Fee,529359158510345,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-119.84,12.84,0,No,25 Apr 2022 - 01 May 2022,paid,487693429009228,490810318089718,Delivered,J&T Express PH,standard,Dropshipping,383219755655032,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Sales,Item Price Credit,497255671330453,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,5350,0,0,No,25 Apr 2022 - 01 May 2022,paid,490682426961120,497500387815177,Delivered,J&T Express PH,standard,Dropshipping,371439144226422,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Lazada Fees,Commission,548669796194985,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-53.33,5.71,0,No,25 Apr 2022 - 01 May 2022,paid,490679087681277,491060067952629,Delivered,J&T Express PH,standard,Dropshipping,462598875856360,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Lazada Fees,Payment Fee,467227819015578,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-119.84,12.84,0,No,25 Apr 2022 - 01 May 2022,paid,490484057851374,497599167844830,Delivered,J&T Express PH,standard,Dropshipping,361603768507268,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Sales,Item Price Credit,494541979741697,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,5350,0,0,No,25 Apr 2022 - 01 May 2022,paid,497109349213500,491079684542262,Delivered,J&T Express PH,standard,Dropshipping,358701054382793,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Lazada Fees,Commission,478753326765065,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-53.33,5.71,0,No,25 Apr 2022 - 01 May 2022,paid,497306907514233,495905636075730,Delivered,J&T Express PH,standard,Dropshipping,476756996516298,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),539955439206118,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-2643,283.18,0,No,25 Apr 2022 - 01 May 2022,paid,489461305525377,490912180540951,Delivered,J&T Express PH,standard,Dropshipping,442414122485872,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),507569115833075,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-2643,283.18,0,No,25 Apr 2022 - 01 May 2022,paid,487782949689602,487649887290344,Delivered,J&T Express PH,standard,Dropshipping,500676848978990,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),544332013002654,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-2643,283.18,0,No,25 Apr 2022 - 01 May 2022,paid,492751504973995,490078163029613,Delivered,J&T Express PH,standard,Dropshipping,395117952518839,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Lazada Fees,Payment Fee,501169984478609,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-119.84,12.84,0,No,25 Apr 2022 - 01 May 2022,paid,494424732481144,495557138423614,Delivered,J&T Express PH,standard,Dropshipping,399972977148686,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Lazada Fees,Payment Fee,533977079493659,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-119.84,12.84,0,No,25 Apr 2022 - 01 May 2022,paid,488650936467393,491139049443058,Delivered,J&T Express PH,standard,Dropshipping,383804080013156,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Sales,Item Price Credit,510973224640128,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,6693.93,0,0,No,25 Apr 2022 - 01 May 2022,paid,491600948329363,495271534035467,Delivered,J&T Express PH,standard,Dropshipping,532428451031220,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Lazada Fees,Commission,468669349191028,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-53.33,5.71,0,No,25 Apr 2022 - 01 May 2022,paid,489663059631628,486449936965284,Delivered,J&T Express PH,standard,Dropshipping,441397163849842,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Lazada Fees,Commission,521795625062507,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-53.33,5.71,0,No,25 Apr 2022 - 01 May 2022,paid,492070576453735,495335665197602,Delivered,J&T Express PH,standard,Dropshipping,523139139105665,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Apr-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),538254167860536,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-2643,283.18,0,No,25 Apr 2022 - 01 May 2022,paid,489275189678937,491913783599398,Delivered,J&T Express PH,standard,Dropshipping,479392362833969,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Apr-2022,Orders-Lazada Fees,Payment Fee,517029286234579,CHARM WHEELS,ACDELCO Transmission Fluid - CVT 1 liter,P01-A1-B003-0156,2865003244_PH-13899279439,-14.34,1.54,0,No,25 Apr 2022 - 01 May 2022,paid,490735287791366,486213500768483,Delivered,LEX PH,standard,Dropshipping,461116048135293,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Apr-2022,Orders-Sales,Item Price Credit,548168119294294,CHARM WHEELS,ACDELCO Transmission Fluid - CVT 1 liter,P01-A1-B003-0156,2865003244_PH-13899279439,640,0,0,No,25 Apr 2022 - 01 May 2022,paid,490092367402922,493709117694535,Delivered,LEX PH,standard,Dropshipping,486183023249271,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Apr-2022,Orders-Lazada Fees,Commission,487557253587768,CHARM WHEELS,ACDELCO Transmission Fluid - CVT 1 liter,P01-A1-B003-0156,2865003244_PH-13899279439,-6.38,0.68,0,No,25 Apr 2022 - 01 May 2022,paid,494062947569488,491931196804098,Delivered,LEX PH,standard,Dropshipping,450568312307863,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Apr-2022,Orders-Lazada Fees,Payment Fee,522856619641203,CHARM WHEELS,ACDELCO Transmission Fluid - CVT 1 liter,P01-A1-B003-0156,2865003244_PH-13899279439,-14.34,1.54,0,No,25 Apr 2022 - 01 May 2022,paid,490631106282632,486495434296207,Delivered,LEX PH,standard,Dropshipping,382114055966211,,PH0022000808903,April 2022,#N/A,,,,,,,,,,,,,,,,,,,,
