Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
31-Aug-2022,Orders-Lazada Fees,Payment Fee,540709857619134,RMJ,Mizzle GOLD M89 Motorcycle Tire 120/80 x 17 (Tubeless),MIZ-M89-1208-X17,1742860246_PH-7479724791,-82.43,8.83,0,No,31 Jul 2022 - 31 Jul 2022,paid,509381262068694,532669998412186,Delivered,J&T Express PH,standard,Dropshipping,383175713196165,,PH0022001283441
31-Aug-2022,Orders-Sales,Item Price Credit,529503547873008,RMJ,Mizzle GOLD M89 Motorcycle Tire 120/80 x 17 (Tubeless),MIZ-M89-1208-X17,1742860246_PH-7479724791,3380,0,0,No,31 Jul 2022 - 31 Jul 2022,paid,510019483510013,529353923208543,Delivered,J&T Express PH,standard,Dropshipping,398366132264147,,PH0022001283441
31-Aug-2022,Orders-Lazada Fees,Payment Fee,523066920774518,PARTS PRO,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,-4.97,0.53,0,No,29 Jul 2022 - 29 Jul 2022,paid,514523273234552,531859878641643,Delivered,LEX PH,standard,Dropshipping,521434695313326,,PH0022001283441
31-Aug-2022,Orders-Sales,Item Price Credit,502138640383142,PARTS PRO,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,213,0,0,No,29 Jul 2022 - 29 Jul 2022,paid,523131557721662,533359361125408,Delivered,LEX PH,standard,Dropshipping,379329652879832,,PH0022001283441
31-Aug-2022,Orders-Lazada Fees,Payment Fee,480596936872112,PARTS PRO,MAG 1 Power Steering Fluid with Stop Leak 1 Quart,P01-A1-B009-0120,2889278245_PH-14035362676,-9.04,0.97,0,No,29 Jul 2022 - 29 Jul 2022,paid,513476077366448,521193032580104,Delivered,LEX PH,standard,Dropshipping,473040888578873,,PH0022001283441
31-Aug-2022,Orders-Sales,Item Price Credit,478421844566865,PARTS PRO,MAG 1 Power Steering Fluid with Stop Leak 1 Quart,P01-A1-B009-0120,2889278245_PH-14035362676,363,0,0,No,29 Jul 2022 - 29 Jul 2022,paid,524486588872489,525037305397119,Delivered,LEX PH,standard,Dropshipping,497512862204987,,PH0022001283441
31-Aug-2022,Orders-Marketing Fees,Free Shipping Max Fee,554820410817674,PARTS PRO,PRO-99 911 Rescue Spray 250 ml,P01-A1-B011-0007,2873295981_PH-13947698681,-5.34,0.57,0,No,28 Jul 2022 - 28 Jul 2022,paid,516622585386538,524725633946139,Delivered,LEX PH,standard,Dropshipping,555263419785434,commission program:107-49742,PH0022001283441
31-Aug-2022,Orders-Lazada Fees,Payment Fee,493970729718359,PARTS PRO,JS Oil Filters OE42001,P01-A1-B016-0573,2957310995_PH-14451293774,-5.41,0.58,0,No,28 Jul 2022 - 28 Jul 2022,paid,535266897195860,519862514901771,Delivered,LEX PH,standard,Dropshipping,388564567205994,,PH0022001223184
30-Aug-2022,Orders-Sales,Item Price Credit,470665496879996,PARTS PRO,JS Oil Filters OE42001,P01-A1-B016-0573,2957310995_PH-14451293774,176,0,0,No,28 Jul 2022 - 28 Jul 2022,paid,523274774666162,532922054091890,Delivered,LEX PH,standard,Dropshipping,441745520541200,,PH0022001223184
30-Aug-2022,Orders-Lazada Fees,Payment Fee,541544724722495,PARTS PRO,JS Cabin Filters AC3504,P01-A1-B016-0449,2957302116_PH-14450657908,-8.39,0.9,0,No,28 Jul 2022 - 28 Jul 2022,paid,514837143902087,534794825930321,Delivered,LEX PH,standard,Dropshipping,549666220649675,,PH0022001223184
30-Aug-2022,Orders-Sales,Item Price Credit,459615755406412,PARTS PRO,JS Cabin Filters AC3504,P01-A1-B016-0449,2957302116_PH-14450657908,309,0,0,No,28 Jul 2022 - 28 Jul 2022,paid,533671587769252,527333918889731,Delivered,LEX PH,standard,Dropshipping,379175446542126,,PH0022001223184
