Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
29-Dec-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),574315160707977,LCE,SAILUN TIRE Passenger Car Radial Terramax A/T 275/55 R20 ,P07-A1-B015-0137,2905649783_PH-14125270919,-250,26.79,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,585613608193536,579087644129011,Delivered,J&T Express PH,standard,Dropshipping,579087644129011,,
29-Dec-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),581520825764365,LCE,SAILUN TIRE Passenger Car Radial Terramax A/T 275/55 R20 ,P07-A1-B015-0137,2905649783_PH-14125270919,-250,26.79,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,583066158083437,579087644029011,Delivered,J&T Express PH,standard,Dropshipping,579087644029011,,
29-Dec-2022,Orders-Lazada Fees,Commission,576920413364822,LCE,SAILUN TIRE Passenger Car Radial Terramax A/T 275/55 R20 ,P07-A1-B015-0137,2905649783_PH-14125270919,-174.22,18.67,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,574034801526130,579087644129011,Delivered,J&T Express PH,standard,Dropshipping,579087644129011,,
29-Dec-2022,Orders-Lazada Fees,Payment Fee,573352565109141,LCE,SAILUN TIRE Passenger Car Radial Terramax A/T 275/55 R20 ,P07-A1-B015-0137,2905649783_PH-14125270919,-216.55,23.20,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,575428845738166,579087644129011,Delivered,J&T Express PH,standard,Dropshipping,579087644129011,,
29-Dec-2022,Orders-Sales,Item Price Credit,574812549898303,LCE,SAILUN TIRE Passenger Car Radial Terramax A/T 275/55 R20 ,P07-A1-B015-0137,2905649783_PH-14125270919,8690,0.00,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,571570550971013,579087644129011,Delivered,J&T Express PH,standard,Dropshipping,579087644129011,,
29-Dec-2022,Orders-Lazada Fees,Commission,576963609489652,LCE,SAILUN TIRE Passenger Car Radial Terramax A/T 275/55 R20 ,P07-A1-B015-0137,2905649783_PH-14125270919,-174.22,18.67,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,577614974321970,579087644029011,Delivered,J&T Express PH,standard,Dropshipping,579087644029011,,
29-Dec-2022,Orders-Lazada Fees,Payment Fee,583098157369675,LCE,SAILUN TIRE Passenger Car Radial Terramax A/T 275/55 R20 ,P07-A1-B015-0137,2905649783_PH-14125270919,-216.55,23.20,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,579023440794395,579087644029011,Delivered,J&T Express PH,standard,Dropshipping,579087644029011,,
29-Dec-2022,Orders-Sales,Item Price Credit,573218654626639,LCE,SAILUN TIRE Passenger Car Radial Terramax A/T 275/55 R20 ,P07-A1-B015-0137,2905649783_PH-14125270919,8690,0.00,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,581181089330140,579087644029011,Delivered,J&T Express PH,standard,Dropshipping,579087644029011,,
29-Dec-2022,Orders-Lazada Fees,Commission,573070958480609,TGC,FLEETMAX FAS 8038 Air Filter,P12-A1-B001-0142,3360920809_PH-17120931177,-6.62,0.71,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,572319485991119,586994746193718,Delivered,LEX PH,standard,Dropshipping,586994746193718,,
29-Dec-2022,Orders-Lazada Fees,Payment Fee,570975768351139,TGC,FLEETMAX FAS 8038 Air Filter,P12-A1-B001-0142,3360920809_PH-17120931177,-8.24,0.88,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,572285129652387,586994746193718,Delivered,LEX PH,standard,Dropshipping,586994746193718,,
29-Dec-2022,Orders-Sales,Item Price Credit,581399205755849,TGC,FLEETMAX FAS 8038 Air Filter,P12-A1-B001-0142,3360920809_PH-17120931177,330,0.00,0.00,No,29 Dec 2022 - 29 Dec 2022,paid,574753300999858,586994746193718,Delivered,LEX PH,standard,Dropshipping,586994746193718,,
28-Dec-2022,Orders-Lazada Fees,Commission,583820318751959,Caloocan Sales Center,MICHELIN PILOT STREET 120X70X17 TUBELESS TIRE,PZAMICHELINPILOTSTREET120X70X17TL,1947249508_PH-8405223614,-99.24,10.63,0.00,No,28 Dec 2022 - 28 Dec 2022,paid,579262158093345,585494759574556,Delivered,YTO Express PH,standard,Dropshipping,585494759574556,,
28-Dec-2022,Orders-Lazada Fees,Payment Fee,568939665910824,Caloocan Sales Center,MICHELIN PILOT STREET 120X70X17 TUBELESS TIRE,PZAMICHELINPILOTSTREET120X70X17TL,1947249508_PH-8405223614,-116.93,12.53,0.00,No,28 Dec 2022 - 28 Dec 2022,paid,576880760545097,585494759574556,Delivered,YTO Express PH,standard,Dropshipping,585494759574556,,
28-Dec-2022,Orders-Sales,Item Price Credit,579926345030963,Caloocan Sales Center,MICHELIN PILOT STREET 120X70X17 TUBELESS TIRE,PZAMICHELINPILOTSTREET120X70X17TL,1947249508_PH-8405223614,4950,0.00,0.00,No,28 Dec 2022 - 28 Dec 2022,paid,586072649778386,585494759574556,Delivered,YTO Express PH,standard,Dropshipping,585494759574556,,
26-Dec-2022,Orders-Lazada Fees,Commission,581645315172408,PARTS PRO,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-28.18,3.02,0.00,No,26 Dec 2022 - 26 Dec 2022,paid,574183316090019,581033595453098,Delivered,J&T Express PH,standard,Dropshipping,581033595453098,,
26-Dec-2022,Orders-Lazada Fees,Payment Fee,584657824465290,PARTS PRO,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-34.98,3.75,0.00,No,26 Dec 2022 - 26 Dec 2022,paid,576990799034192,581033595453098,Delivered,J&T Express PH,standard,Dropshipping,581033595453098,,
