Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up,,,,,Actual,Needed,Difference
28-Feb-22,Orders-Lazada Fees,Payment Fee,489193332940978,RMJ,FDR Sports XR Evo 100/80 x 14 MOTORCYCLE TIRE,FDR-EVO-100-X14,1723894003_PH-7435936723,-51.54,30,0,No,22 Feb 2021 - 28 Feb 2021,paid,437989199756949,381356068773223,Delivered,LBC,standard,Dropshipping,521264883805438,,,February 2022, ,357581332642771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4500,Promotional Charges Vouchers,0,,March 2021,57727.27,0,57727.27
28-Feb-22,Orders-Sales,Item Price Credit,464640433623831,RMJ,FDR Sports XR Evo 100/80 x 14 MOTORCYCLE TIRE,FDR-EVO-100-X14,1723894003_PH-7435936723,2000,4.56,0,No,22 Feb 2021 - 28 Feb 2021,paid,432868044361399,425642093230123,Delivered,LBC,standard,Dropshipping,393762853036254,,,February 2022,Low - Medium,356297577267437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Payment Fee,-4452.86,,April 2021,21075.16,0,21075.16
28-Feb-22,Orders-Lazada Fees,Commission,484133646014415,RMJ,FDR Sports XR Evo 100/80 x 14 MOTORCYCLE TIRE,FDR-EVO-100-X14,1723894003_PH-7435936723,-19.94,0,0,No,22 Feb 2021 - 28 Feb 2021,paid,406182785430872,423716964710094,Delivered,LBC,standard,Dropshipping,371739965287048,,,February 2022, ,366455434172398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Reversal Item Price,-9000,,May 2021,6216,0,6216
28-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,492079462578763,RMJ,FDR Sports XR Evo 100/80 x 14 MOTORCYCLE TIRE,FDR-EVO-100-X14,1723894003_PH-7435936723,-60,3.4,0,No,15 Feb 2021 - 21 Feb 2021,paid,464326568949505,410610281759549,Delivered,LEX PH,standard,Dropshipping,406610208076488,,,February 2022, ,367964398651787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Sponsored Discovery - Top up,-4500,,June 2021,9880.11,0,9880.11
28-Feb-22,Orders-Lazada Fees,Payment Fee,479085067784323,RMJ,KP-232 KING PIN KIT For Isuzu NHR,2315291364-1630725674448-0,2315291364_PH-10491781772,-28,0,0,No,15 Feb 2021 - 21 Feb 2021,paid,373947898299533,394498878353436,Delivered,LEX PH,standard,Dropshipping,528242356117064,,,February 2022, ,363509675380748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Commission,-1962.46,,July 2021,58229.02,0,58229.02
28-Feb-22,Orders-Sales,Item Price Credit,510896978976694,RMJ,KP-232 KING PIN KIT For Isuzu NHR,2315291364-1630725674448-0,2315291364_PH-10491781772,1200.2,21.96,0,No,15 Feb 2021 - 21 Feb 2021,paid,411023365381238,454796916013386,Delivered,LEX PH,standard,Dropshipping,495173696928593,,,February 2022,Low - Medium,364351992393304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee Paid by Seller,0,,August 2021,37888.43,0,37888.43
28-Feb-22,Orders-Lazada Fees,Commission,544593489341977,RMJ,KP-232 KING PIN KIT For Isuzu NHR,2315291364-1630725674448-0,2315291364_PH-10491781772,-11.96,3.34,0,No,29 Mar 2021 - 04 Apr 2021,paid,382728534497086,378031896573745,Delivered,LEX PH,standard,Dropshipping,486946070090689,,,February 2022, ,364513789008002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Free Shipping Max Fee,-4520.58,,September 2021,77826.6,0,77826.6
28-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,454125181424851,RMJ,KP-232 KING PIN KIT For Isuzu NHR,2315291364-1630725674448-0,2315291364_PH-10491781772,-47.99,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,373939137010913,431663652870837,Delivered,LEX PH,standard,Dropshipping,459379924802089,,,February 2022, ,363031989480492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Lazada Bonus,0,,October 2021,59885.69,0,59885.69
27-Feb-22,Orders-Lazada Fees,Payment Fee,490284851142286,RMJ,Pirelli Diablo Rosso Sport 80/90 x 14 Tubeless Tire,PIR-ANG-8090-x14,1724428061_PH-7437544222,-43.68,21.32,0,No,29 Mar 2021 - 04 Apr 2021,paid,455224205674575,431855502965994,Delivered,LEX PH,standard,Dropshipping,478067435009471,,,February 2022, ,363080144088817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee Refund to Customer,-25.5,,November 2021,114647.17,0,114647.17
27-Feb-22,Orders-Sales,Item Price Credit,555347212742249,RMJ,Pirelli Diablo Rosso Sport 80/90 x 14 Tubeless Tire,PIR-ANG-8090-x14,1724428061_PH-7437544222,1950,0.49,0,No,29 Mar 2021 - 04 Apr 2021,paid,446824893980364,378650540111615,Delivered,LEX PH,standard,Dropshipping,526182297481921,,,February 2022,Low - Medium,358365277760603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee Voucher Refund to Laz,-325.5,,December 2021,146477.25,0,146477.25
