Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up
31-Jul-2022,Orders-Lazada Fees,Payment Fee,524489504323087,RMJ,Mizzle GOLD M89 Motorcycle Tire 120/80 x 17 (Tubeless),MIZ-M89-1208-X17,1742860246_PH-7479724791,-82.43,8.83,0,No,31 Jul 2022 - 31 Jul 2022,paid,525015120966933,513040796041518,Delivered,J&T Express PH,standard,Dropshipping,407169711460418,,PH0022001283441,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
31-Jul-2022,Orders-Sales,Item Price Credit,524489504323087,RMJ,Mizzle GOLD M89 Motorcycle Tire 120/80 x 17 (Tubeless),MIZ-M89-1208-X17,1742860246_PH-7479724791,3380,0,0,No,31 Jul 2022 - 31 Jul 2022,paid,514798450500047,519854023739660,Delivered,J&T Express PH,standard,Dropshipping,526744446096578,,PH0022001283441,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
29-Jul-2022,Orders-Lazada Fees,Payment Fee,522183841498139,PARTS PRO,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,-4.97,0.53,0,No,29 Jul 2022 - 29 Jul 2022,paid,511782128411268,522740301077465,Delivered,LEX PH,standard,Dropshipping,458571925911573,,PH0022001283441,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
29-Jul-2022,Orders-Sales,Item Price Credit,522183841498139,PARTS PRO,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,213,0,0,No,29 Jul 2022 - 29 Jul 2022,paid,509365276261742,511728029257622,Delivered,LEX PH,standard,Dropshipping,422752483204599,,PH0022001283441,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
29-Jul-2022,Orders-Lazada Fees,Payment Fee,525384180368332,PARTS PRO,MAG 1 Power Steering Fluid with Stop Leak 1 Quart,P01-A1-B009-0120,2889278245_PH-14035362676,-9.04,0.97,0,No,29 Jul 2022 - 29 Jul 2022,paid,518487119318135,509593457802357,Delivered,LEX PH,standard,Dropshipping,377347753798664,,PH0022001283441,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
29-Jul-2022,Orders-Sales,Item Price Credit,525384180368332,PARTS PRO,MAG 1 Power Steering Fluid with Stop Leak 1 Quart,P01-A1-B009-0120,2889278245_PH-14035362676,363,0,0,No,29 Jul 2022 - 29 Jul 2022,paid,515540660066213,521022350453434,Delivered,LEX PH,standard,Dropshipping,527778117609650,,PH0022001283441,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Marketing Fees,Free Shipping Max Fee,523035182627275,PARTS PRO,PRO-99 911 Rescue Spray 250 ml,P01-A1-B011-0007,2873295981_PH-13947698681,-5.34,0.57,0,No,28 Jul 2022 - 28 Jul 2022,paid,517773636090627,517914340185535,Delivered,LEX PH,standard,Dropshipping,410160547906009,commission program:107-49742,PH0022001283441,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Lazada Fees,Payment Fee,521400082954487,PARTS PRO,JS Oil Filters OE42001,P01-A1-B016-0573,2957310995_PH-14451293774,-5.41,0.58,0,No,28 Jul 2022 - 28 Jul 2022,paid,509099540628777,515160130252313,Delivered,LEX PH,standard,Dropshipping,453339630036534,,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Sales,Item Price Credit,521400082954487,PARTS PRO,JS Oil Filters OE42001,P01-A1-B016-0573,2957310995_PH-14451293774,176,0,0,No,28 Jul 2022 - 28 Jul 2022,paid,525152214726561,523954707890835,Delivered,LEX PH,standard,Dropshipping,378143330988405,,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Lazada Fees,Payment Fee,524121551754487,PARTS PRO,JS Cabin Filters AC3504,P01-A1-B016-0449,2957302116_PH-14450657908,-8.39,0.9,0,No,28 Jul 2022 - 28 Jul 2022,paid,524160040726889,511148743937116,Delivered,LEX PH,standard,Dropshipping,546008474991610,,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Sales,Item Price Credit,524121551754487,PARTS PRO,JS Cabin Filters AC3504,P01-A1-B016-0449,2957302116_PH-14450657908,309,0,0,No,28 Jul 2022 - 28 Jul 2022,paid,523274873238503,519375793559336,Delivered,LEX PH,standard,Dropshipping,490643921330717,,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Lazada Fees,Payment Fee,521400082854487,PARTS PRO,JS Oil Filters OE42001,P01-A1-B016-0573,2957310995_PH-14451293774,-5.41,0.58,0,No,28 Jul 2022 - 28 Jul 2022,paid,508773944483910,511065964300246,Delivered,LEX PH,standard,Dropshipping,417504712762730,,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Sales,Item Price Credit,521400082854487,PARTS PRO,JS Oil Filters OE42001,P01-A1-B016-0573,2957310995_PH-14451293774,176,0,0,No,28 Jul 2022 - 28 Jul 2022,paid,524275014791171,524430699665692,Delivered,LEX PH,standard,Dropshipping,510558429250368,,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Lazada Fees,Payment Fee,524121551654487,PARTS PRO,JS Cabin Filters AC3504,P01-A1-B016-0449,2957302116_PH-14450657908,-8.39,0.9,0,No,28 Jul 2022 - 28 Jul 2022,paid,517043659314867,515048025882895,Delivered,LEX PH,standard,Dropshipping,391793293054713,,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Sales,Item Price Credit,524121551654487,PARTS PRO,JS Cabin Filters AC3504,P01-A1-B016-0449,2957302116_PH-14450657908,309,0,0,No,28 Jul 2022 - 28 Jul 2022,paid,516085573379107,522857864107184,Delivered,LEX PH,standard,Dropshipping,385855347502909,,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Marketing Fees,Free Shipping Max Fee,523185161724480,PARTS PRO,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,-10.64,1.14,0,No,28 Jul 2022 - 28 Jul 2022,paid,512205349727237,524616498040517,Delivered,LEX PH,standard,Dropshipping,451563733966720,commission program:107-49742,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jul-2022,Orders-Marketing Fees,Free Shipping Max Fee,523185161624480,PARTS PRO,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,-10.64,1.14,0,No,28 Jul 2022 - 28 Jul 2022,paid,520120840241681,508794192008194,Delivered,LEX PH,standard,Dropshipping,546735111604168,commission program:107-49742,PH0022001223184,July 2022,#N/A,,,,,,,,,,,,,,,,,,,,
