Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up
30-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,509107024900573,CHARM WHEELS,"""Back Door  Stay Assy  TOYOTA FORTUNER (LH & RH)   68950-0K010 08960-0K010""",2315299673-1630726724512-0,2315299673_PH-10492172144,-59.98,6.43,0,No,27 Jun 2022 - 03 Jul 2022,paid,503942494400660,507173839453715,Delivered,J&T Express PH,standard,Dropshipping,465294668482441,commission program:107-49742,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
30-Jun-2022,Orders-Lazada Fees,Commission,516371577343810,CHARM WHEELS,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-14.95,1.6,0,No,27 Jun 2022 - 03 Jul 2022,paid,515889294706378,505463314228651,Delivered,LEX PH,standard,Dropshipping,492951681406520,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
30-Jun-2022,Orders-Lazada Fees,Payment Fee,516371577343810,CHARM WHEELS,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-34.91,3.74,0,No,27 Jun 2022 - 03 Jul 2022,paid,497786518895190,507735140285196,Delivered,LEX PH,standard,Dropshipping,493343073226694,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
30-Jun-2022,Orders-Sales,Item Price Credit,516371577343810,CHARM WHEELS,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,1500,0,0,No,27 Jun 2022 - 03 Jul 2022,paid,498446763556079,507717918589878,Delivered,LEX PH,standard,Dropshipping,389894882512156,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
29-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,513444506241728,LCE,SAILUN TIRE Passenger Car Radial Atrezzo Eco 165/80 R13,P07-A1-B015-0004,2889000256_PH-14034183198,-60,6.43,0,No,27 Jun 2022 - 03 Jul 2022,paid,515274465811023,504159324245201,Delivered,LEX PH,standard,Dropshipping,501547115931456,commission program:107-49742,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
29-Jun-2022,Refunds-Logistics,Shipping Fee Refund to Customer,511569795820062,CHARM WHEELS,UM-13 90919-21573 SPARKPLUG CABLE for TOYOTA TAMARAW REVO 7K 93-99,2330000722-1631169418626-0,2330000722_PH-10571202163,-106,0,0,No,27 Jun 2022 - 03 Jul 2022,paid,496951570246081,501217331438224,Returned,Ninja Van PH,standard,Dropshipping,377729116340578,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
29-Jun-2022,Refunds-Logistics,Shipping Fee Voucher Refund to Laz,511569795820062,CHARM WHEELS,UM-13 90919-21573 SPARKPLUG CABLE for TOYOTA TAMARAW REVO 7K 93-99,2330000722-1631169418626-0,2330000722_PH-10571202163,-50,0,0,No,27 Jun 2022 - 03 Jul 2022,paid,498748402928783,510202269043022,Returned,Ninja Van PH,standard,Dropshipping,400129875456194,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
29-Jun-2022,Refunds-Lazada Fees,Reversal Commission,511569795820062,CHARM WHEELS,UM-13 90919-21573 SPARKPLUG CABLE for TOYOTA TAMARAW REVO 7K 93-99,2330000722-1631169418626-0,2330000722_PH-10571202163,8.23,0.88,0,No,27 Jun 2022 - 03 Jul 2022,paid,508794064660981,511143584920088,Returned,Ninja Van PH,standard,Dropshipping,426307299394321,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
29-Jun-2022,Refunds-Sales,Reversal Item Price,511569795820062,CHARM WHEELS,UM-13 90919-21573 SPARKPLUG CABLE for TOYOTA TAMARAW REVO 7K 93-99,2330000722-1631169418626-0,2330000722_PH-10571202163,-826.2,0,0,No,27 Jun 2022 - 03 Jul 2022,paid,504909094644824,501418464779243,Returned,Ninja Van PH,standard,Dropshipping,514388005604665,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,515592772087230,REY MOTOPARTS,Corsa Platinum M5 110/70 x 13 TUBELESS TIRE,PZACORSAPLATINUMM5110/70-13,2029201382_PH-8960392475,-77.93,8.35,0,No,27 Jun 2022 - 03 Jul 2022,paid,502790697742085,514050621714517,Delivered,J&T Express PH,standard,Dropshipping,425659471687248,commission program:107-49742,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jun-2022,Orders-Lazada Fees,Commission,515592772087230,REY MOTOPARTS,Corsa Platinum M5 110/70 x 13 TUBELESS TIRE,PZACORSAPLATINUMM5110/70-13,2029201382_PH-8960392475,-15.55,1.67,0,No,27 Jun 2022 - 03 Jul 2022,paid,514621599340444,506495792040847,Delivered,J&T Express PH,standard,Dropshipping,525316327820846,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jun-2022,Orders-Lazada Fees,Payment Fee,515592772087230,REY MOTOPARTS,Corsa Platinum M5 110/70 x 13 TUBELESS TIRE,PZACORSAPLATINUMM5110/70-13,2029201382_PH-8960392475,-35.84,3.84,0,No,27 Jun 2022 - 03 Jul 2022,paid,499440046908424,504384943204349,Delivered,J&T Express PH,standard,Dropshipping,391987288421939,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
28-Jun-2022,Orders-Sales,Item Price Credit,515592772087230,REY MOTOPARTS,Corsa Platinum M5 110/70 x 13 TUBELESS TIRE,PZACORSAPLATINUMM5110/70-13,2029201382_PH-8960392475,1560,0,0,No,27 Jun 2022 - 03 Jul 2022,paid,512931087128423,504654368825211,Delivered,J&T Express PH,standard,Dropshipping,380296475730007,,PH0022001283441,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,513719732573441,PARTS PRO,MAG 1 High Temp / Wheel Bearing Grease 14oz,P01-A1-B009-0078,2874146421_PH-13951160316,-11.87,1.27,0,No,20 Jun 2022 - 26 Jun 2022,paid,511089417655153,505722848395007,Delivered,Ninja Van PH,standard,Dropshipping,555256180699293,commission program:107-49742,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Lazada Fees,Commission,513719732573441,PARTS PRO,MAG 1 High Temp / Wheel Bearing Grease 14oz,P01-A1-B009-0078,2874146421_PH-13951160316,-2.96,0.32,0,No,20 Jun 2022 - 26 Jun 2022,paid,506799391101100,510354820879277,Delivered,Ninja Van PH,standard,Dropshipping,376750503452820,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Lazada Fees,Payment Fee,513719732573441,PARTS PRO,MAG 1 High Temp / Wheel Bearing Grease 14oz,P01-A1-B009-0078,2874146421_PH-13951160316,-7.48,0.8,0,No,20 Jun 2022 - 26 Jun 2022,paid,511417518753687,505225090789691,Delivered,Ninja Van PH,standard,Dropshipping,490489074194383,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Sales,Item Price Credit,513719732573441,PARTS PRO,MAG 1 High Temp / Wheel Bearing Grease 14oz,P01-A1-B009-0078,2874146421_PH-13951160316,297,0,0,No,20 Jun 2022 - 26 Jun 2022,paid,512573934119260,505899639660601,Delivered,Ninja Van PH,standard,Dropshipping,497194286254419,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Lazada Fees,Commission,511569795820062,CHARM WHEELS,UM-13 90919-21573 SPARKPLUG CABLE for TOYOTA TAMARAW REVO 7K 93-99,2330000722-1631169418626-0,2330000722_PH-10571202163,-8.23,0.88,0,No,20 Jun 2022 - 26 Jun 2022,paid,514319226425389,496164555555840,Returned,Ninja Van PH,standard,Dropshipping,490935431986167,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Lazada Fees,Payment Fee,511569795820062,CHARM WHEELS,UM-13 90919-21573 SPARKPLUG CABLE for TOYOTA TAMARAW REVO 7K 93-99,2330000722-1631169418626-0,2330000722_PH-10571202163,-20.88,2.24,0,No,20 Jun 2022 - 26 Jun 2022,paid,506220039171909,503443382509524,Returned,Ninja Van PH,standard,Dropshipping,407987729847155,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Sales,Item Price Credit,511569795820062,CHARM WHEELS,UM-13 90919-21573 SPARKPLUG CABLE for TOYOTA TAMARAW REVO 7K 93-99,2330000722-1631169418626-0,2330000722_PH-10571202163,826.2,0,0,No,20 Jun 2022 - 26 Jun 2022,paid,509350643791767,496784809445355,Returned,Ninja Van PH,standard,Dropshipping,365472039542605,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,513838512526828,CHARM WHEELS,HARDEX Nut & Bolt Lock Thead Lock Compound,P10-A1-B002-0007,3090615214_PH-15245580301,-7.25,0.78,0,No,20 Jun 2022 - 26 Jun 2022,paid,506121708551395,502065163305393,Delivered,LEX PH,standard,Dropshipping,393682400948971,commission program:107-49742,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,512436784210951,CHARM WHEELS,KP-220 KING PIN KIT For Isuzu C240,2315271250-1630725113682-0,2315271250_PH-10491671294,-46.39,4.97,0,No,20 Jun 2022 - 26 Jun 2022,paid,497581789446112,508121171492748,Delivered,Ninja Van PH,standard,Dropshipping,414785423480229,commission program:107-49742,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
26-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,512436784310951,CHARM WHEELS,KP-220 KING PIN KIT For Isuzu C240,2315271250-1630725113682-0,2315271250_PH-10491671294,-46.39,4.97,0,No,20 Jun 2022 - 26 Jun 2022,paid,512640470914020,506598278337292,Delivered,Ninja Van PH,standard,Dropshipping,510669467938077,commission program:107-49742,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
25-Jun-2022,Orders-Lazada Fees,Commission,512436784310951,CHARM WHEELS,KP-220 KING PIN KIT For Isuzu C240,2315271250-1630725113682-0,2315271250_PH-10491671294,-11.57,1.24,0,No,20 Jun 2022 - 26 Jun 2022,paid,505690851516725,500945150695589,Delivered,Ninja Van PH,standard,Dropshipping,409135558498119,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
25-Jun-2022,Orders-Lazada Fees,Payment Fee,512436784310951,CHARM WHEELS,KP-220 KING PIN KIT For Isuzu C240,2315271250-1630725113682-0,2315271250_PH-10491671294,-28.1,3.01,0,No,20 Jun 2022 - 26 Jun 2022,paid,498558996789718,507167191237282,Delivered,Ninja Van PH,standard,Dropshipping,410327172294066,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
25-Jun-2022,Orders-Sales,Item Price Credit,512436784310951,CHARM WHEELS,KP-220 KING PIN KIT For Isuzu C240,2315271250-1630725113682-0,2315271250_PH-10491671294,1160.2,0,0,No,20 Jun 2022 - 26 Jun 2022,paid,496347790179085,496339915606245,Delivered,Ninja Van PH,standard,Dropshipping,401439095358230,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
25-Jun-2022,Orders-Lazada Fees,Commission,512436784210951,CHARM WHEELS,KP-220 KING PIN KIT For Isuzu C240,2315271250-1630725113682-0,2315271250_PH-10491671294,-11.57,1.24,0,No,20 Jun 2022 - 26 Jun 2022,paid,498138559906574,507741350165630,Delivered,Ninja Van PH,standard,Dropshipping,377691190624588,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
25-Jun-2022,Orders-Lazada Fees,Payment Fee,512436784210951,CHARM WHEELS,KP-220 KING PIN KIT For Isuzu C240,2315271250-1630725113682-0,2315271250_PH-10491671294,-28.1,3.01,0,No,20 Jun 2022 - 26 Jun 2022,paid,509569392941484,511086100743417,Delivered,Ninja Van PH,standard,Dropshipping,384122913138834,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
25-Jun-2022,Orders-Sales,Item Price Credit,512436784210951,CHARM WHEELS,KP-220 KING PIN KIT For Isuzu C240,2315271250-1630725113682-0,2315271250_PH-10491671294,1160.2,0,0,No,20 Jun 2022 - 26 Jun 2022,paid,497467389408428,499846595140217,Delivered,Ninja Van PH,standard,Dropshipping,360827995991692,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
25-Jun-2022,Orders-Lazada Fees,Commission,514666764055698,PARTS PRO,MAG 1 ATF +4 1qt,P01-A1-B009-0057,2873995943_PH-13950831366,-6.76,0.72,0,No,20 Jun 2022 - 26 Jun 2022,paid,506548286348945,497653722351743,Delivered,LEX PH,standard,Dropshipping,453116218747328,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
25-Jun-2022,Orders-Lazada Fees,Payment Fee,514666764055698,PARTS PRO,MAG 1 ATF +4 1qt,P01-A1-B009-0057,2873995943_PH-13950831366,-15.21,1.63,0,No,20 Jun 2022 - 26 Jun 2022,paid,513201385151237,505327859806964,Delivered,LEX PH,standard,Dropshipping,468084863279281,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
25-Jun-2022,Orders-Sales,Item Price Credit,514666764055698,PARTS PRO,MAG 1 ATF +4 1qt,P01-A1-B009-0057,2873995943_PH-13950831366,679,0,0,No,20 Jun 2022 - 26 Jun 2022,paid,500022574015293,506892434483938,Delivered,LEX PH,standard,Dropshipping,375440141683486,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Commission,508699217374435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,-1.5,0.16,0,No,20 Jun 2022 - 26 Jun 2022,paid,510431664881136,515120138407139,Delivered,J&T Express PH,standard,Dropshipping,489955581450927,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Payment Fee,508699217374435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,-4.39,0.47,0,No,20 Jun 2022 - 26 Jun 2022,paid,499083707293629,501925403839481,Delivered,J&T Express PH,standard,Dropshipping,471163500365651,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
