Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up
31-May-2022,Orders-Lazada Fees,Payment Fee,506228826703464,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-119.84,12.84,0,No,25 Apr 2022 - 01 May 2022,paid,493148859148124,493529895370254,Delivered,J&T Express PH,standard,Dropshipping,358659394183219,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
31-May-2022,Orders-Sales,Item Price Credit,485739359375980,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,5350,0,0,No,25 Apr 2022 - 01 May 2022,paid,493148859148124,487003899657601,Delivered,J&T Express PH,standard,Dropshipping,488369243956001,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
31-May-2022,Orders-Lazada Fees,Commission,551093836392224,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-53.33,5.71,0,No,25 Apr 2022 - 01 May 2022,paid,493148859148124,494194032738721,Delivered,J&T Express PH,standard,Dropshipping,425474108548853,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
31-May-2022,Orders-Lazada Fees,Payment Fee,471005607666067,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-119.84,12.84,0,No,25 Apr 2022 - 01 May 2022,paid,496936984235532,490786001320051,Delivered,J&T Express PH,standard,Dropshipping,416804136239637,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
31-May-2022,Orders-Sales,Item Price Credit,483596770831254,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,5350,0,0,No,25 Apr 2022 - 01 May 2022,paid,496936984235532,486508008944401,Delivered,J&T Express PH,standard,Dropshipping,433194383610896,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
31-May-2022,Orders-Lazada Fees,Commission,499521369348358,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-53.33,5.71,0,No,25 Apr 2022 - 01 May 2022,paid,496936984235532,497261065668475,Delivered,J&T Express PH,standard,Dropshipping,523848114591955,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
30-May-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),492022407336092,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-2643,283.18,0,No,25 Apr 2022 - 01 May 2022,paid,496936984235532,492893355275576,Delivered,J&T Express PH,standard,Dropshipping,409581674767799,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
30-May-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),536509479114624,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-2643,283.18,0,No,25 Apr 2022 - 01 May 2022,paid,493148859148124,494038310173176,Delivered,J&T Express PH,standard,Dropshipping,484853246485329,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
30-May-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),476503028048388,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-2643,283.18,0,No,25 Apr 2022 - 01 May 2022,paid,493148859148124,495130746520875,Delivered,J&T Express PH,standard,Dropshipping,364578411278736,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
30-May-2022,Orders-Lazada Fees,Payment Fee,466913907127451,CHARM WHEELS,SAILUN TIRE Passenger Car Radial Atrezzo Inspire 235/55 R19,P07-A1-B015-0043,2889122378_PH-14034835741,-119.84,12.84,0,No,25 Apr 2022 - 01 May 2022,paid,493148859148124,495308254963558,Delivered,J&T Express PH,standard,Dropshipping,382706776354446,,PH0022000808903,May 2022,#N/A,,,,,,,,,,,,,,,,,,,,
