Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
29-Nov-2022,Orders-Lazada Fees,Commission,559224279512649,Parts Pro,MAG 1 AW ISO 46 Hydraulic Oil 1 Gallon,P01-A1-B009-0124,2874154993_PH-13951557552,-20.05,2.15,0,No,29 Nov 2022 - 29 Nov 2022,paid,569389578339133,570159792034555,Delivered,Ninja Van PH,standard,Dropshipping,570159792034555,,
29-Nov-2022,Orders-Lazada Fees,Payment Fee,561126343633355,Parts Pro,MAG 1 AW ISO 46 Hydraulic Oil 1 Gallon,P01-A1-B009-0124,2874154993_PH-13951557552,-26.15,2.8,0,No,29 Nov 2022 - 29 Nov 2022,paid,564359545596068,570159792034555,Delivered,Ninja Van PH,standard,Dropshipping,570159792034555,,
29-Nov-2022,Orders-Sales,Item Price Credit,566358305326853,Parts Pro,MAG 1 AW ISO 46 Hydraulic Oil 1 Gallon,P01-A1-B009-0124,2874154993_PH-13951557552,"1,000.00",0,0,No,29 Nov 2022 - 29 Nov 2022,paid,568611394064984,570159792034555,Delivered,Ninja Van PH,standard,Dropshipping,570159792034555,,
28-Nov-2022,Orders-Lazada Fees,Commission,564474005997962,FORNIS,HANSA HS-PZ-38 GLOW PLUG for MAZDA RF PICKUP - 11V,P03-A1-B001-0304,2329847212_PH-10570168054,-1.62,0.17,0,No,28 Nov 2022 - 28 Nov 2022,paid,566170901384437,566523659758356,Delivered,J&T Express PH,standard,Dropshipping,566523659758356,,
28-Nov-2022,Orders-Lazada Fees,Payment Fee,567530016908279,FORNIS,HANSA HS-PZ-38 GLOW PLUG for MAZDA RF PICKUP - 11V,P03-A1-B001-0304,2329847212_PH-10570168054,-4.93,0.53,0,No,28 Nov 2022 - 28 Nov 2022,paid,558722646356151,566523659758356,Delivered,J&T Express PH,standard,Dropshipping,566523659758356,,
28-Nov-2022,Orders-Sales,Item Price Credit,558094073460239,FORNIS,HANSA HS-PZ-38 GLOW PLUG for MAZDA RF PICKUP - 11V,P03-A1-B001-0304,2329847212_PH-10570168054,81.00,0,0,No,28 Nov 2022 - 28 Nov 2022,paid,570404844554749,566523659758356,Delivered,J&T Express PH,standard,Dropshipping,566523659758356,,
28-Nov-2022,Orders-Lazada Fees,Commission,558583495533604,SEC,55L SEC ALLOY BOX SERIES 12 - Adventure JF TOP BOX,2384554968-1632905005662-0,2384554968_PH-10854122069,-182.44,19.55,0,No,28 Nov 2022 - 28 Nov 2022,paid,560489031143667,570758112576108,Delivered,J&T Express PH,standard,Dropshipping,570758112576108,,
28-Nov-2022,Orders-Lazada Fees,Payment Fee,561598106171647,SEC,55L SEC ALLOY BOX SERIES 12 - Adventure JF TOP BOX,2384554968-1632905005662-0,2384554968_PH-10854122069,-213.47,22.87,0,No,28 Nov 2022 - 28 Nov 2022,paid,565808578699838,570758112576108,Delivered,J&T Express PH,standard,Dropshipping,570758112576108,,
28-Nov-2022,Orders-Sales,Item Price Credit,567786186340087,SEC,55L SEC ALLOY BOX SERIES 12 - Adventure JF TOP BOX,2384554968-1632905005662-0,2384554968_PH-10854122069,"9,100.00",0,0,No,28 Nov 2022 - 28 Nov 2022,paid,570136508852606,570758112576108,Delivered,J&T Express PH,standard,Dropshipping,570758112576108,,
28-Nov-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),556659694918159,SEC,55L SEC ALLOY BOX SERIES 12 - Adventure JF TOP BOX,2384554968-1632905005662-0,2384554968_PH-10854122069,-200.00,21.43,0,No,28 Nov 2022 - 28 Nov 2022,paid,556114037512631,570758112576108,Delivered,J&T Express PH,standard,Dropshipping,570758112576108,,
28-Nov-2022,Orders-Lazada Fees,Commission,569904356499248,RMJ,DERFOE RADIATOR COOLANT (GREEN) 2L,PZA-“DERFOE”RADIATORCOOLANT(GREEN)2L,2320702781_PH-10522558689,-7.64,0.82,0,No,28 Nov 2022 - 28 Nov 2022,paid,558235331147475,566608496224293,Delivered,LEX PH,standard,Dropshipping,566608496224293,,
28-Nov-2022,Orders-Lazada Fees,Payment Fee,564495550127132,RMJ,DERFOE RADIATOR COOLANT (GREEN) 2L,PZA-“DERFOE”RADIATORCOOLANT(GREEN)2L,2320702781_PH-10522558689,-9.44,1.01,0,No,28 Nov 2022 - 28 Nov 2022,paid,559641499768474,566608496224293,Delivered,LEX PH,standard,Dropshipping,566608496224293,,
28-Nov-2022,Orders-Sales,Item Price Credit,562233752608328,RMJ,DERFOE RADIATOR COOLANT (GREEN) 2L,PZA-“DERFOE”RADIATORCOOLANT(GREEN)2L,2320702781_PH-10522558689,381.00,0,0,No,28 Nov 2022 - 28 Nov 2022,paid,561278917395577,566608496224293,Delivered,LEX PH,standard,Dropshipping,566608496224293,,
25-Nov-2022,Orders-Lazada Fees,Commission,560706761506221,Caloocan Sales Center,PIRELLI ANGEL 70/90x17 MOTORCYCLE TIRES,PZA-PIRELLIANGEL70/90x17,2491240639_PH-11431094607,-26.06,2.79,0,No,25 Nov 2022 - 25 Nov 2022,paid,567167255638967,566879015097918,Delivered,J&T Express PH,standard,Dropshipping,566879015097918,,
25-Nov-2022,Orders-Lazada Fees,Payment Fee,555457554328680,Caloocan Sales Center,PIRELLI ANGEL 70/90x17 MOTORCYCLE TIRES,PZA-PIRELLIANGEL70/90x17,2491240639_PH-11431094607,-32.23,3.45,0,No,25 Nov 2022 - 25 Nov 2022,paid,555402815883368,566879015097918,Delivered,J&T Express PH,standard,Dropshipping,566879015097918,,
25-Nov-2022,Orders-Sales,Item Price Credit,569636275220230,Caloocan Sales Center,PIRELLI ANGEL 70/90x17 MOTORCYCLE TIRES,PZA-PIRELLIANGEL70/90x17,2491240639_PH-11431094607,"1,300.00",0,0,No,25 Nov 2022 - 25 Nov 2022,paid,559382639986045,566879015097918,Delivered,J&T Express PH,standard,Dropshipping,566879015097918,,
25-Nov-2022,Orders-Lazada Fees,Commission,556305044014068,Fornis,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-30.07,3.22,0,No,25 Nov 2022 - 25 Nov 2022,paid,566322730241661,569697970050175,Delivered,LEX PH,standard,Dropshipping,569697970050175,,
25-Nov-2022,Orders-Lazada Fees,Payment Fee,565030873720475,Fornis,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-34.45,3.69,0,No,25 Nov 2022 - 25 Nov 2022,paid,564970867483146,569697970050175,Delivered,LEX PH,standard,Dropshipping,569697970050175,,
25-Nov-2022,Orders-Sales,Item Price Credit,567417638917888,Fornis,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,"1,500.00",0,0,No,25 Nov 2022 - 25 Nov 2022,paid,565206955821033,569697970050175,Delivered,LEX PH,standard,Dropshipping,569697970050175,,
24-Nov-2022,Orders-Lazada Fees,Commission,567258651021100,TGC,FLEETMAX FAS 8930 Air Filter Genuine Type,P12-A1-B001-0249,3362398324_PH-17128955610,-8.22,0.88,0,No,24 Nov 2022 - 24 Nov 2022,paid,567619880364318,561194800820775,Delivered,LEX PH,standard,Dropshipping,561194800820775,,
24-Nov-2022,Orders-Lazada Fees,Payment Fee,559998859794731,TGC,FLEETMAX FAS 8930 Air Filter Genuine Type,P12-A1-B001-0249,3362398324_PH-17128955610,-9.81,1.05,0,No,24 Nov 2022 - 24 Nov 2022,paid,569681851413181,561194800820775,Delivered,LEX PH,standard,Dropshipping,561194800820775,,
24-Nov-2022,Orders-Sales,Item Price Credit,560139517575233,TGC,FLEETMAX FAS 8930 Air Filter Genuine Type,P12-A1-B001-0249,3362398324_PH-17128955610,410.00,0,0,No,24 Nov 2022 - 24 Nov 2022,paid,570249689697274,561194800820775,Delivered,LEX PH,standard,Dropshipping,561194800820775,,
22-Nov-2022,Orders-Lazada Fees,Commission,555191322855047,Fornis,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-30.07,3.22,0,No,22 Nov 2022 - 22 Nov 2022,paid,569933576135151,565280621404933,Delivered,LEX PH,standard,Dropshipping,565280621404933,,
22-Nov-2022,Orders-Lazada Fees,Payment Fee,568803691105426,Fornis,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-34.45,3.69,0,No,22 Nov 2022 - 22 Nov 2022,paid,555027060547478,565280621404933,Delivered,LEX PH,standard,Dropshipping,565280621404933,,
22-Nov-2022,Orders-Sales,Item Price Credit,565210963803623,Fornis,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,"1,500.00",0,0,No,22 Nov 2022 - 22 Nov 2022,paid,570018695943574,565280621404933,Delivered,LEX PH,standard,Dropshipping,565280621404933,,
21-Nov-2022,Orders-Lazada Fees,Commission,565725898709685,TGC,FLEETMAX FAS 8638 Air Filter,P12-A1-B001-0175,3361232522_PH-17122015197,-6.01,0.64,0,No,21 Nov 2022 - 21 Nov 2022,paid,559306651436289,561417257142626,Delivered,LEX PH,standard,Dropshipping,561417257142626,,
