Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
22-Oct-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),551129466144637,LCE,MRF 8.25 X 20 Rib Type Truck Tire with Tube and Flap,2745177086-1645076179487-0,2745177086_PH-13165947514,-500.00,53.57,0.00,No,22 Oct 2022 - 22 Oct 2022,paid,551906422798120,545771793713322,Delivered,J&T Express PH,standard,Dropshipping,428287306996607,,
22-Oct-2022,Orders-Lazada Fees,Payment Fee,514890138015667,LCE,MRF 8.25 X 20 Rib Type Truck Tire with Tube and Flap,2745177086-1645076179487-0,2745177086_PH-13165947514,-252.40,27.04,0.00,No,22 Oct 2022 - 22 Oct 2022,paid,550845590060094,554771968309955,Delivered,J&T Express PH,standard,Dropshipping,489496942165991,,
22-Oct-2022,Orders-Sales,Item Price Credit,520899827605172,LCE,MRF 8.25 X 20 Rib Type Truck Tire with Tube and Flap,2745177086-1645076179487-0,2745177086_PH-13165947514,"11,130.00",0.00,0.00,No,22 Oct 2022 - 22 Oct 2022,paid,545477907457501,544682067604109,Delivered,J&T Express PH,standard,Dropshipping,548901011816738,,
21-Oct-2022,Orders-Lazada Fees,Payment Fee,539533801012931,TGC,MAG 1 Air Compressor Oil 1 Gallon,P01-A1-B009-0129,2889273360_PH-14035502631,-25.55,2.74,0.00,No,21 Oct 2022 - 21 Oct 2022,paid,554994081492919,553371776196433,Delivered,LEX PH,standard,Dropshipping,362318450338429,,
21-Oct-2022,Orders-Sales,Item Price Credit,488457831227915,TGC,MAG 1 Air Compressor Oil 1 Gallon,P01-A1-B009-0129,2889273360_PH-14035502631,"1,100.00",0.00,0.00,No,21 Oct 2022 - 21 Oct 2022,paid,546647465994369,545960572426813,Delivered,LEX PH,standard,Dropshipping,420380022128730,,
20-Oct-2022,Orders-Lazada Fees,Payment Fee,476031747847662,Fornis,NGK SPARK PLUG STOCK NO.2306 CPR8AE-9,PZANGKSPARKPLUGSTOCKNO.2306CPR8AE-9,1947271087_PH-8404628260,-11.18,1.20,0.00,No,20 Oct 2022 - 20 Oct 2022,paid,547650169362887,547917518926579,Delivered,LEX PH,standard,Dropshipping,507936369254965,,
20-Oct-2022,Orders-Sales,Item Price Credit,543782243166779,Fornis,NGK SPARK PLUG STOCK NO.2306 CPR8AE-9,PZANGKSPARKPLUGSTOCKNO.2306CPR8AE-9,1947271087_PH-8404628260,480.00,0.00,0.00,No,20 Oct 2022 - 20 Oct 2022,paid,546287784069447,549190023454347,Delivered,LEX PH,standard,Dropshipping,390079247115062,,
20-Oct-2022,Orders-Lazada Fees,Payment Fee,523302298128032,Fornis,NGK SPARK PLUG STOCK NO.2306 CPR8AE-9,PZANGKSPARKPLUGSTOCKNO.2306CPR8AE-9,1947271087_PH-8404628260,-11.18,1.20,0.00,No,20 Oct 2022 - 20 Oct 2022,paid,553077227492598,555075072943614,Delivered,LEX PH,standard,Dropshipping,508860997821378,,
20-Oct-2022,Orders-Sales,Item Price Credit,518198554677844,Fornis,NGK SPARK PLUG STOCK NO.2306 CPR8AE-9,PZANGKSPARKPLUGSTOCKNO.2306CPR8AE-9,1947271087_PH-8404628260,480.00,0.00,0.00,No,20 Oct 2022 - 20 Oct 2022,paid,545179791235207,543951797644963,Delivered,LEX PH,standard,Dropshipping,412735900695174,,
18-Oct-2022,Orders-Lazada Fees,Payment Fee,464769557420847,Caloocan Sales Center,DIABLO ROSSO lll 110/70 X17,3140062122-1655361720007-0,3140062122_PH-15581024878,-104.07,11.15,0.00,No,18 Oct 2022 - 18 Oct 2022,paid,551363278195223,549569112828826,Delivered,J&T Express PH,standard,Dropshipping,385146960475097,,
18-Oct-2022,Orders-Sales,Item Price Credit,467278696642436,Caloocan Sales Center,DIABLO ROSSO lll 110/70 X17,3140062122-1655361720007-0,3140062122_PH-15581024878,"4,501.35",0.00,0.00,No,18 Oct 2022 - 18 Oct 2022,paid,547787409554812,553154893295590,Delivered,J&T Express PH,standard,Dropshipping,393269801005113,,
18-Oct-2022,Orders-Lazada Fees,Lazada Bonus - LZD co-fund,537467244198924,Caloocan Sales Center,DIABLO ROSSO lll 110/70 X17,3140062122-1655361720007-0,3140062122_PH-15581024878,216.36,0.00,0.00,No,18 Oct 2022 - 18 Oct 2022,paid,554995229372715,546859253602747,Delivered,J&T Express PH,standard,Dropshipping,452040640428002,,
17-Oct-2022,Orders-Lazada Fees,Payment Fee,488022340046884,Fornis,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-32.30,3.46,0.00,No,17 Oct 2022 - 17 Oct 2022,paid,549827136831255,550170311213972,Delivered,LEX PH,standard,Dropshipping,510670026488548,,
17-Oct-2022,Orders-Sales,Item Price Credit,519986094188308,Fornis,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,"1,427.19",0.00,0.00,No,17 Oct 2022 - 17 Oct 2022,paid,554135075342344,554899518865405,Delivered,LEX PH,standard,Dropshipping,456601723893633,,
