Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
30-Sep-2022,Refunds-Logistics,Shipping Fee Refund to Customer,476416033837460,REY MOTOPARTS,55L SEC ALLOY BOX SERIES 12 - Adventure JF TOP BOX,2384554968-1632905005662-0,2384554968_PH-10854122069,-200.00,0.00,0.00,No,30 Sep 2022 - 30 Sep 2022,paid,543336190624847,512132503286106,Returned,J&T Express PH,standard,Dropshipping,540405978014543,,
30-Sep-2022,Refunds-Sales,Reversal Item Price,469340037906222,REY MOTOPARTS,55L SEC ALLOY BOX SERIES 12 - Adventure JF TOP BOX,2384554968-1632905005662-0,2384554968_PH-10854122069,"-9,900.00",0.00,0.00,No,30 Sep 2022 - 30 Sep 2022,paid,544037627933754,537736642700551,Returned,J&T Express PH,standard,Dropshipping,502443763173504,,
30-Sep-2022,Refunds-Lazada Fees,Reversal Commission,540837025450436,REY MOTOPARTS,55L SEC ALLOY BOX SERIES 12 - Adventure JF TOP BOX,2384554968-1632905005662-0,2384554968_PH-10854122069,198.48,21.27,0.00,No,30 Sep 2022 - 30 Sep 2022,paid,518865678086256,533396678336133,Returned,J&T Express PH,standard,Dropshipping,364921887713022,,
30-Sep-2022,Orders-Lazada Fees,Commission,492260089643741,REY MOTOPARTS,"HANSA HS-7515 AUTO BULB (T20/W21/5W) 12V 21/5W (21/5W) BASE:(W3 x 16d) CIRCUIT:""1891 KOITO 7443""",2317081277-1630762228097-0,2317081277_PH-10501359927,-0.60,0.06,0.00,No,30 Sep 2022 - 30 Sep 2022,paid,537928080014974,537784288381503,Delivered,LEX PH,standard,Dropshipping,422207009555631,,
30-Sep-2022,Orders-Lazada Fees,Payment Fee,488227853244605,REY MOTOPARTS,"HANSA HS-7515 AUTO BULB (T20/W21/5W) 12V 21/5W (21/5W) BASE:(W3 x 16d) CIRCUIT:""1891 KOITO 7443""",2317081277-1630762228097-0,2317081277_PH-10501359927,-1.13,0.12,0.00,No,30 Sep 2022 - 30 Sep 2022,paid,545081364609125,514628006486530,Delivered,LEX PH,standard,Dropshipping,488798479295191,,
30-Sep-2022,Orders-Sales,Item Price Credit,513933939762445,REY MOTOPARTS,"HANSA HS-7515 AUTO BULB (T20/W21/5W) 12V 21/5W (21/5W) BASE:(W3 x 16d) CIRCUIT:""1891 KOITO 7443""",2317081277-1630762228097-0,2317081277_PH-10501359927,30.00,0.00,0.00,No,30 Sep 2022 - 30 Sep 2022,paid,542109946718615,534899751140073,Delivered,LEX PH,standard,Dropshipping,454097054748201,,
30-Sep-2022,Orders-Lazada Fees,Commission,473933938647382,REY MOTOPARTS,"HANSA HS-7515 AUTO BULB (T20/W21/5W) 12V 21/5W (21/5W) BASE:(W3 x 16d) CIRCUIT:""1891 KOITO 7443""",2317081277-1630762228097-0,2317081277_PH-10501359927,-0.60,0.06,0.00,No,30 Sep 2022 - 30 Sep 2022,paid,527350626930661,528133798187519,Delivered,LEX PH,standard,Dropshipping,484170153925179,,
30-Sep-2022,Orders-Lazada Fees,Payment Fee,472999557542393,REY MOTOPARTS,"HANSA HS-7515 AUTO BULB (T20/W21/5W) 12V 21/5W (21/5W) BASE:(W3 x 16d) CIRCUIT:""1891 KOITO 7443""",2317081277-1630762228097-0,2317081277_PH-10501359927,-1.13,0.12,0.00,No,30 Sep 2022 - 30 Sep 2022,paid,529768911858519,530119497514505,Delivered,LEX PH,standard,Dropshipping,540794217667635,,
30-Sep-2022,Orders-Sales,Item Price Credit,456372068739591,REY MOTOPARTS,"HANSA HS-7515 AUTO BULB (T20/W21/5W) 12V 21/5W (21/5W) BASE:(W3 x 16d) CIRCUIT:""1891 KOITO 7443""",2317081277-1630762228097-0,2317081277_PH-10501359927,30.00,0.00,0.00,No,30 Sep 2022 - 30 Sep 2022,paid,519629732414060,526345740004891,Delivered,LEX PH,standard,Dropshipping,365570631996324,,
29-Sep-2022,Orders-Lazada Fees,Commission,465560514434491,RMJ,Mizzle GOLD M89 Motorcycle Tire 90/80 x 14 (Tubeless),MIZ-M89-908-X14,1724080569_PH-7436570877,-31.08,3.33,0.00,No,29 Sep 2022 - 29 Sep 2022,paid,516292210566368,539315761254099,Delivered,LEX PH,standard,Dropshipping,427954837984976,,
