Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year
18-Jan-2022,Orders-Lazada Fees,Payment Fee,481884752959411,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,-2.46,0.26,0,No,17 Jan 2022 - 23 Jan 2022,paid,458761388110191,458089806301055,Delivered,Flash Express PH,standard,Dropshipping,416112434695875,,PH0022000148567,January 2022
18-Jan-2022,Orders-Sales,Item Price Credit,530979912564104,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,81.57,0,0,No,17 Jan 2022 - 23 Jan 2022,paid,454656432955786,463799844256989,Delivered,Flash Express PH,standard,Dropshipping,453569609436983,,PH0022000148567,January 2022
18-Jan-2022,Orders-Lazada Fees,Payment Fee,540656092196003,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,-2.46,0.26,0,No,17 Jan 2022 - 23 Jan 2022,paid,461200997577094,457047677710236,Delivered,Flash Express PH,standard,Dropshipping,433287052141812,,PH0022000148567,January 2022
18-Jan-2022,Orders-Sales,Item Price Credit,497750005101492,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,81.57,0,0,No,17 Jan 2022 - 23 Jan 2022,paid,456940039023199,454927366529235,Delivered,Flash Express PH,standard,Dropshipping,450537736618303,,PH0022000148567,January 2022
18-Jan-2022,Orders-Lazada Fees,Payment Fee,483646989281583,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,-2.46,0.26,0,No,17 Jan 2022 - 23 Jan 2022,paid,465475891125479,465156988566570,Delivered,Flash Express PH,standard,Dropshipping,498952526527788,,PH0022000148567,January 2022
18-Jan-2022,Orders-Sales,Item Price Credit,457638891771779,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,81.57,0,0,No,17 Jan 2022 - 23 Jan 2022,paid,455316132153386,461877726791048,Delivered,Flash Express PH,standard,Dropshipping,410172821049310,,PH0022000148567,January 2022
18-Jan-2022,Orders-Lazada Fees,Payment Fee,536903384874978,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,-2.46,0.26,0,No,17 Jan 2022 - 23 Jan 2022,paid,461787058630243,455644173828878,Delivered,Flash Express PH,standard,Dropshipping,496379603316883,,PH0022000148567,January 2022
18-Jan-2022,Orders-Sales,Item Price Credit,460707789277983,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,81.57,0,0,No,17 Jan 2022 - 23 Jan 2022,paid,455573856487146,456340085363091,Delivered,Flash Express PH,standard,Dropshipping,511463038774669,,PH0022000148567,January 2022
18-Jan-2022,Orders-Lazada Fees,Payment Fee,552545286012540,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,-2.46,0.26,0,No,17 Jan 2022 - 23 Jan 2022,paid,460884113692444,462392998101057,Delivered,Flash Express PH,standard,Dropshipping,540183337874624,,PH0022000148567,January 2022
18-Jan-2022,Orders-Lazada Fees,Payment Fee,534807185626352,KPH,ORBIT(W2) Grade 430 STAINLESS STEEL HOSE CLIPS  Size(mm):50-70mm   Size (inches):2 3/4”,2321193686-1630918113346-0,2321193686_PH-10524774866,-2.46,0.26,0,No,17 Jan 2022 - 23 Jan 2022,paid,457619364316552,464789446166363,Delivered,Flash Express PH,standard,Dropshipping,543874016019054,,PH0022000148567,January 2022
